Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price 
HDFCBANK,EQ,21-Mar-2024,1431.05,1442.6,1451.25,1438.3,1445.4,1445.75,1445.43
HDFCBANK,EQ,22-Mar-2024,1445.75,1441,1450.75,1437.75,1442.55,1442.85,1443.79
HDFCBANK,EQ,26-Mar-2024,1442.85,1427.2,1437.95,1422.15,1424.9,1425.4,1430.24
HDFCBANK,EQ,27-Mar-2024,1425.4,1423.55,1447.95,1421.25,1443.65,1440.7,1436.27
HDFCBANK,EQ,28-Mar-2024,1440.7,1440.7,1460.5,1440.7,1447,1447.9,1451.6
HDFCBANK,EQ,01-Apr-2024,1447.9,1458,1473.8,1455.6,1470,1470.5,1466.67
HDFCBANK,EQ,02-Apr-2024,1470.5,1465.15,1494.85,1463.25,1479.55,1480.15,1483.23
HDFCBANK,EQ,03-Apr-2024,1480.15,1472.1,1495.65,1471.4,1484.5,1482.3,1485.06
HDFCBANK,EQ,04-Apr-2024,1482.3,1504,1530,1504,1529,1527.6,1520.65
HDFCBANK,EQ,05-Apr-2024,1527.6,1539,1554.5,1530.15,1550.05,1549.55,1545.34
HDFCBANK,EQ,08-Apr-2024,1549.55,1554.95,1557.25,1541.55,1545,1546.6,1546.8
HDFCBANK,EQ,09-Apr-2024,1546.6,1554.85,1554.85,1540.3,1544.4,1548.55,1547.47
HDFCBANK,EQ,10-Apr-2024,1548.55,1549.9,1549.9,1532.95,1534.95,1536.35,1539.41
HDFCBANK,EQ,12-Apr-2024,1536.35,1521,1529.85,1513.45,1516.25,1518.95,1520.13
HDFCBANK,EQ,15-Apr-2024,1518.95,1497.55,1510,1492.05,1493,1494.7,1501.19
HDFCBANK,EQ,16-Apr-2024,1494.7,1487,1512.9,1482.25,1512,1509.25,1499.45
HDFCBANK,EQ,18-Apr-2024,1509.25,1509.8,1518.85,1491.05,1496.8,1494.7,1503.85
HDFCBANK,EQ,19-Apr-2024,1494.7,1486.55,1534.95,1480.25,1534.2,1531.3,1514.56
HDFCBANK,EQ,22-Apr-2024,1531.3,1557.4,1557.4,1508.3,1514.35,1512.2,1519.66
HDFCBANK,EQ,23-Apr-2024,1512.2,1526.3,1526.5,1503.25,1507.5,1507.6,1510.64
HDFCBANK,EQ,24-Apr-2024,1507.6,1515,1521.75,1509.05,1512.9,1511.7,1514.5
HDFCBANK,EQ,25-Apr-2024,1511.7,1506.25,1519.7,1506.25,1513.8,1510.75,1512.64
HDFCBANK,EQ,26-Apr-2024,1510.75,1519.8,1528,1505.55,1511,1509.8,1515.19
HDFCBANK,EQ,29-Apr-2024,1509.8,1515,1534.45,1506.55,1528.55,1529.5,1521.15
HDFCBANK,EQ,30-Apr-2024,1529.5,1529.2,1539.5,1514.9,1515.45,1520.1,1528.27
HDFCBANK,EQ,02-May-2024,1520.1,1522,1537,1520.35,1532.9,1532.25,1531.6
HDFCBANK,EQ,03-May-2024,1532.25,1533.25,1540.6,1507.2,1515.65,1519.6,1521.12
HDFCBANK,EQ,06-May-2024,1519.6,1522,1534.5,1517.15,1523.75,1522.65,1525.73
HDFCBANK,EQ,07-May-2024,1522.65,1521.95,1524.05,1504.15,1505.1,1506.15,1510.7
HDFCBANK,EQ,08-May-2024,1506.15,1495.95,1496.95,1480.35,1483.5,1482.65,1486.59
HDFCBANK,EQ,09-May-2024,1482.65,1474.95,1486.75,1445.3,1450.8,1447.5,1461.55
HDFCBANK,EQ,10-May-2024,1447.5,1439,1451.95,1426.8,1439.85,1437.9,1440.93
HDFCBANK,EQ,13-May-2024,1437.9,1432,1459.8,1430.3,1456.5,1455.25,1447.14
HDFCBANK,EQ,14-May-2024,1455.25,1452.25,1465.5,1450.3,1461.6,1460.95,1459.59
HDFCBANK,EQ,15-May-2024,1460.95,1459.7,1459.7,1435.8,1440.8,1438.5,1443.04
HDFCBANK,EQ,16-May-2024,1438.5,1446.05,1462.55,1435.5,1459.75,1460.25,1449.96
HDFCBANK,EQ,17-May-2024,1460.25,1446.2,1468,1446.2,1463,1464.1,1461.22
HDFCBANK,EQ,18-May-2024,1464.1,1466,1467.1,1463.05,1466.35,1466.05,1465.57
HDFCBANK,EQ,21-May-2024,1466.05,1450.1,1469.7,1450.1,1457.2,1458.8,1460.08
HDFCBANK,EQ,22-May-2024,1458.8,1457.85,1465.6,1448.15,1463.75,1459.2,1456.24
HDFCBANK,EQ,23-May-2024,1459.2,1458.65,1495.65,1457.05,1492.85,1492.6,1477.1
HDFCBANK,EQ,24-May-2024,1492.6,1487.5,1519.9,1486,1516.5,1517.2,1507.33
HDFCBANK,EQ,27-May-2024,1517.2,1523.35,1545,1519.05,1528,1527.7,1533.69
HDFCBANK,EQ,28-May-2024,1527.7,1530.1,1536.05,1524.8,1528.6,1530.5,1531.14
HDFCBANK,EQ,29-May-2024,1530.5,1518,1523.85,1501.25,1506,1508.3,1510.22
HDFCBANK,EQ,30-May-2024,1508.3,1499.2,1523.6,1497.65,1518.3,1514.85,1513.96
HDFCBANK,EQ,31-May-2024,1514.85,1519,1536,1514,1525.95,1531.55,1528.77
HDFCBANK,EQ,03-Jun-2024,1531.55,1599,1599,1550,1573,1572.2,1567.87
HDFCBANK,EQ,04-Jun-2024,1572.2,1557,1559,1454,1489.75,1483.15,1504.91
HDFCBANK,EQ,05-Jun-2024,1483.15,1494.05,1559.6,1482.35,1545.85,1551.8,1523.83
HDFCBANK,EQ,06-Jun-2024,1551.8,1564.9,1565.45,1546.6,1559.5,1559.7,1557
HDFCBANK,EQ,07-Jun-2024,1559.7,1561.05,1584.35,1552.05,1575,1573.35,1572.47
HDFCBANK,EQ,10-Jun-2024,1573.35,1574,1580.65,1557.6,1559.55,1561.3,1566.93
HDFCBANK,EQ,11-Jun-2024,1561.3,1556,1571,1552.2,1563.05,1564.8,1564.24
HDFCBANK,EQ,12-Jun-2024,1564.8,1575,1588.3,1566.4,1569,1574.15,1576.98
HDFCBANK,EQ,13-Jun-2024,1574.15,1581.75,1585.7,1574,1581.2,1580.75,1581.85
HDFCBANK,EQ,14-Jun-2024,1580.75,1584,1599,1577.7,1595.6,1596.9,1592.12
HDFCBANK,EQ,18-Jun-2024,1596.9,1596.9,1610.5,1589.45,1608,1607.8,1604.04
HDFCBANK,EQ,19-Jun-2024,1607.8,1613.4,1669.9,1604,1657,1657.85,1644.44
HDFCBANK,EQ,20-Jun-2024,1657.85,1669.8,1681.45,1652,1667.25,1669.35,1667.89
HDFCBANK,EQ,21-Jun-2024,1669.35,1672.85,1672.85,1643.15,1661.65,1665.75,1658.68
HDFCBANK,EQ,24-Jun-2024,1665.75,1647,1675.1,1645.75,1671,1672.4,1664.93
HDFCBANK,EQ,25-Jun-2024,1672.4,1671.1,1716.95,1671.1,1707,1711.35,1705.04
HDFCBANK,EQ,26-Jun-2024,1711.35,1707.95,1710.9,1691.1,1693.5,1701.5,1703.01
HDFCBANK,EQ,27-Jun-2024,1701.5,1696.1,1713,1686.6,1696.45,1696.15,1697.92
HDFCBANK,EQ,28-Jun-2024,1696.15,1697.6,1706.6,1679,1685,1683.8,1692.59
HDFCBANK,EQ,01-Jul-2024,1683.8,1680,1707.3,1680,1704.2,1705.2,1699.74
HDFCBANK,EQ,02-Jul-2024,1705.2,1715,1734.9,1702.75,1728,1730.6,1722.46
HDFCBANK,EQ,03-Jul-2024,1730.6,1791,1794,1764.65,1767.7,1768.65,1776.87
HDFCBANK,EQ,04-Jul-2024,1768.65,1759.75,1759.75,1724.85,1728,1727.15,1735.22
HDFCBANK,EQ,05-Jul-2024,1727.15,1685,1685,1642.2,1649.4,1648.1,1656.79
HDFCBANK,EQ,08-Jul-2024,1648.1,1645.3,1654.95,1627.15,1636.35,1635.35,1640.07
HDFCBANK,EQ,09-Jul-2024,1635.35,1625,1646.7,1620.35,1638.8,1636.5,1638.53
